Participant,Experiment,Stimulus,Saccade_Frequency,Avg_Saccade_Duration,Avg_Gaze_Deviation,Avg_Fixation_Deviation,Avg_Saccade_Deviation
34,18,13 tete pointage chat droite.jpg,0.1164383561643835,56.33183333339912,218.13992861026696,211.08239962372167,270.86382162739955
6,18,13 tete pointage chat droite.jpg,0.1904761904761904,79.52199999988079,519.2617435979338,553.4761324071733,299.29898960074905
9,18,13 tete pointage chat droite.jpg,0.0,0.0,0.0,0.0,0.0
3,18,13 tete pointage chat droite.jpg,0.0422535211267605,29.841500000007727,166.99806529820452,167.02295157414113,166.43812408963066
8,18,13 tete pointage chat droite.jpg,0.6551724137931034,269.92528571431365,458.9668672625876,548.4935593193113,411.3462863813515
36,18,13 tete pointage chat droite.jpg,0.05,27.853399999999965,265.47089358219506,264.19972475893786,303.0393603511017
2,18,13 tete pointage chat droite.jpg,0.0,0.0,0.0,0.0,0.0
5,18,13 tete pointage chat droite.jpg,0.217391304347826,49.74700000003213,200.91853985138454,170.81227833332122,281.50079430600647
52,22,13 tete pointage chat droite.jpg,0.0492957746478873,34.812500000029104,179.0713113021199,179.21045531159052,187.1415220935206
28,22,13 tete pointage chat droite.jpg,0.0,0.0,0.0,0.0,0.0
39,18,13 tete pointage chat droite.jpg,0.1027397260273972,59.67160000056028,131.61088324683618,125.97680239167452,180.06397860122658
48,22,13 tete pointage chat droite.jpg,0.1056338028169014,42.67771428571099,249.71554623479682,252.55968263337152,225.82480048676996
49,22,13 tete pointage chat droite.jpg,0.1477272727272727,47.92166666671134,323.28606466827233,205.25881191080344,252.7665152080588
1,18,13 tete pointage chat droite.jpg,0.0,0.0,0.0,0.0,0.0
33,18,13 tete pointage chat droite.jpg,0.0958904109589041,55.69259999999631,166.38416926873415,166.61747746485594,164.2010711478803
23,18,13 tete pointage chat droite.jpg,0.0,0.0,0.0,0.0,0.0
43,22,13 tete pointage chat droite.jpg,0.0491803278688524,29.86299999989569,263.25997744881835,265.9631206558113,211.90025651595275
4,18,13 tete pointage chat droite.jpg,0.0212765957446808,29.804999999934807,491.86420162013997,488.3061428130409,555.276932413534
40,18,13 tete pointage chat droite.jpg,0.1232876712328767,44.74950000015269,170.38182153396647,155.60690138637398,274.6270914642023
15,22,13 tete pointage chat droite.jpg,0.2705882352941176,114.37075000000368,357.3344118632945,314.88473812625085,372.9300025952875
13,22,13 tete pointage chat droite.jpg,0.1428571428571428,66.31900000013411,467.4699381011396,467.28640085672305,501.1541018325958
40,19,13 tete pointage chat gauche.jpg,0.1111111111111111,89.3593333335569,181.72312153416996,169.3473313832116,280.7929100335899
9,19,13 tete pointage chat gauche.jpg,0.3157894736842105,119.25700000021608,280.0184577417528,190.127812441877,173.0759996360444
36,19,13 tete pointage chat gauche.jpg,0.1285714285714285,71.62959999991726,180.25395080814613,157.58635502397524,311.16235928884777
39,19,13 tete pointage chat gauche.jpg,0.1586206896551724,65.37314285710454,247.60935492291478,243.9112935665368,258.1944525396423
5,19,13 tete pointage chat gauche.jpg,0.1212121212121212,39.78950000001229,312.4195335562819,323.0653217580595,236.1247181102092
8,19,13 tete pointage chat gauche.jpg,0.0,0.0,0.0,0.0,0.0
6,19,13 tete pointage chat gauche.jpg,0.1894736842105263,59.665000000347696,327.13710182344585,342.2267763706983,272.40549593908514
32,19,13 tete pointage chat gauche.jpg,0.1164383561643835,56.35950000002049,178.92248537539416,159.1818130232304,326.39692000626457
10,19,13 tete pointage chat gauche.jpg,0.0827586206896551,29.81099999998696,202.3512170817479,200.57587192149563,223.8167540193432
2,19,13 tete pointage chat gauche.jpg,0.0,0.0,0.0,0.0,0.0
33,19,13 tete pointage chat gauche.jpg,0.1095890410958904,56.43200000010862,205.7168599785399,203.47230813366437,225.16964263412788
34,19,13 tete pointage chat gauche.jpg,0.1685393258426966,74.59150000009686,234.04943618315866,211.32887319042229,301.912478440756
11,19,13 tete pointage chat gauche.jpg,0.0,0.0,256.0561511014882,211.29975349813535,0.0
31,19,13 tete pointage chat gauche.jpg,0.3082191780821918,94.59019999999946,253.23661319319257,224.6177474537517,316.8340926141724
4,19,13 tete pointage chat gauche.jpg,0.0975609756097561,39.75099999992744,948.4108195823668,960.6407446655818,835.2840125626265
3,19,13 tete pointage chat gauche.jpg,0.1126760563380281,31.80070000000924,244.89000641245548,239.33806800769997,269.1788563681236
30,19,13 tete pointage chat gauche.jpg,0.0,0.0,157.10994337804235,157.10994337804235,0.0
1,19,13 tete pointage chat gauche.jpg,0.0958904109589041,39.78200000001276,178.51981715223425,179.43643282895266,170.00838586842056
49,13,13 vole triste vs joie.avi,0.1070528967254408,36.75317391303606,0.0,0.0,0.0
49,13,14 a triste joie - copie.jpg,0.1092715231788079,79.56250000023647,0.0,0.0,0.0
37,15,14 b joie triste.jpg,0.1853146853146853,52.71280000000552,0.0,0.0,0.0
